120, src: h121, dst: h144, sport: 121, dport: 121, flowsize: 20, starttime: 1000, finishtime: 9173, fct: 8173, recvtput: -7.76 Gbps, sendtput: 0.25 Gbps

116, src: h117, dst: h144, sport: 117, dport: 117, flowsize: 20, starttime: 1000, finishtime: 9212, fct: 8212, recvtput: -7.76 Gbps, sendtput: 0.25 Gbps

76, src: h63, dst: h144, sport: 77, dport: 77, flowsize: 20, starttime: 1000, finishtime: 9264, fct: 8264, recvtput: -7.76 Gbps, sendtput: 0.25 Gbps

115, src: h116, dst: h144, sport: 116, dport: 116, flowsize: 20, starttime: 1000, finishtime: 9265, fct: 8265, recvtput: -7.76 Gbps, sendtput: 0.25 Gbps

81, src: h72, dst: h144, sport: 82, dport: 82, flowsize: 20, starttime: 1000, finishtime: 9270, fct: 8270, recvtput: -7.76 Gbps, sendtput: 0.25 Gbps

99, src: h94, dst: h144, sport: 100, dport: 100, flowsize: 20, starttime: 1000, finishtime: 10170, fct: 9170, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

55, src: h38, dst: h144, sport: 56, dport: 56, flowsize: 20, starttime: 1000, finishtime: 10174, fct: 9174, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

88, src: h79, dst: h144, sport: 89, dport: 89, flowsize: 20, starttime: 1000, finishtime: 10177, fct: 9177, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

124, src: h125, dst: h144, sport: 125, dport: 125, flowsize: 20, starttime: 1000, finishtime: 10190, fct: 9190, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

122, src: h123, dst: h144, sport: 123, dport: 123, flowsize: 20, starttime: 1000, finishtime: 10227, fct: 9227, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

112, src: h111, dst: h144, sport: 113, dport: 113, flowsize: 20, starttime: 1000, finishtime: 10231, fct: 9231, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

105, src: h104, dst: h144, sport: 106, dport: 106, flowsize: 20, starttime: 1000, finishtime: 10232, fct: 9232, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

127, src: h128, dst: h144, sport: 128, dport: 128, flowsize: 20, starttime: 1000, finishtime: 10244, fct: 9244, recvtput: -7.78 Gbps, sendtput: 0.22 Gbps

69, src: h56, dst: h144, sport: 70, dport: 70, flowsize: 20, starttime: 1000, finishtime: 10310, fct: 9310, recvtput: -7.79 Gbps, sendtput: 0.22 Gbps

97, src: h92, dst: h144, sport: 98, dport: 98, flowsize: 20, starttime: 1000, finishtime: 10325, fct: 9325, recvtput: -7.79 Gbps, sendtput: 0.22 Gbps

8, src: h2, dst: h135, sport: 9, dport: 9, flowsize: 5000, starttime: 0, finishtime: 10468, fct: 10468, recvtput: 39.76 Gbps, sendtput: 48.03 Gbps

5, src: h81, dst: h130, sport: 6, dport: 6, flowsize: 5000, starttime: 0, finishtime: 10772, fct: 10772, recvtput: 38.42 Gbps, sendtput: 46.59 Gbps

43, src: h22, dst: h144, sport: 44, dport: 44, flowsize: 20, starttime: 1000, finishtime: 11185, fct: 10185, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

100, src: h95, dst: h144, sport: 101, dport: 101, flowsize: 20, starttime: 1000, finishtime: 11189, fct: 10189, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

58, src: h41, dst: h144, sport: 59, dport: 59, flowsize: 20, starttime: 1000, finishtime: 11198, fct: 10198, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

39, src: h14, dst: h144, sport: 40, dport: 40, flowsize: 20, starttime: 1000, finishtime: 11200, fct: 10200, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

46, src: h25, dst: h144, sport: 47, dport: 47, flowsize: 20, starttime: 1000, finishtime: 11208, fct: 10208, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

33, src: h8, dst: h144, sport: 34, dport: 34, flowsize: 20, starttime: 1000, finishtime: 11210, fct: 10210, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

32, src: h7, dst: h144, sport: 33, dport: 33, flowsize: 20, starttime: 1000, finishtime: 11218, fct: 10218, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

82, src: h73, dst: h144, sport: 83, dport: 83, flowsize: 20, starttime: 1000, finishtime: 11254, fct: 10254, recvtput: -7.8 Gbps, sendtput: 0.2 Gbps

103, src: h102, dst: h144, sport: 104, dport: 104, flowsize: 20, starttime: 1000, finishtime: 11266, fct: 10266, recvtput: -7.81 Gbps, sendtput: 0.2 Gbps

49, src: h28, dst: h144, sport: 50, dport: 50, flowsize: 20, starttime: 1000, finishtime: 11279, fct: 10279, recvtput: -7.81 Gbps, sendtput: 0.2 Gbps

6, src: h97, dst: h135, sport: 7, dport: 7, flowsize: 5000, starttime: 0, finishtime: 12102, fct: 12102, recvtput: 33.32 Gbps, sendtput: 41.43 Gbps

60, src: h43, dst: h144, sport: 61, dport: 61, flowsize: 20, starttime: 1000, finishtime: 12217, fct: 11217, recvtput: -7.82 Gbps, sendtput: 0.18 Gbps

108, src: h107, dst: h144, sport: 109, dport: 109, flowsize: 20, starttime: 1000, finishtime: 12309, fct: 11309, recvtput: -7.82 Gbps, sendtput: 0.18 Gbps

123, src: h124, dst: h144, sport: 124, dport: 124, flowsize: 20, starttime: 1000, finishtime: 12333, fct: 11333, recvtput: -7.82 Gbps, sendtput: 0.18 Gbps

86, src: h77, dst: h144, sport: 87, dport: 87, flowsize: 20, starttime: 1000, finishtime: 12424, fct: 11424, recvtput: -7.82 Gbps, sendtput: 0.18 Gbps

40, src: h15, dst: h144, sport: 41, dport: 41, flowsize: 20, starttime: 1000, finishtime: 13226, fct: 12226, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

67, src: h54, dst: h144, sport: 68, dport: 68, flowsize: 20, starttime: 1000, finishtime: 13227, fct: 12227, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

80, src: h71, dst: h144, sport: 81, dport: 81, flowsize: 20, starttime: 1000, finishtime: 13228, fct: 12228, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

118, src: h119, dst: h144, sport: 119, dport: 119, flowsize: 20, starttime: 1000, finishtime: 13230, fct: 12230, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

113, src: h112, dst: h144, sport: 114, dport: 114, flowsize: 20, starttime: 1000, finishtime: 13281, fct: 12281, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

101, src: h96, dst: h144, sport: 102, dport: 102, flowsize: 20, starttime: 1000, finishtime: 13294, fct: 12294, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

70, src: h57, dst: h144, sport: 71, dport: 71, flowsize: 20, starttime: 1000, finishtime: 13305, fct: 12305, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

65, src: h48, dst: h144, sport: 66, dport: 66, flowsize: 20, starttime: 1000, finishtime: 13320, fct: 12320, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

85, src: h76, dst: h144, sport: 86, dport: 86, flowsize: 20, starttime: 1000, finishtime: 13336, fct: 12336, recvtput: -7.84 Gbps, sendtput: 0.16 Gbps

80, src: h77, dst: h138, sport: 81, dport: 81, flowsize: 5000, starttime: 1000, finishtime: 13797, fct: 12797, recvtput: 31.07 Gbps, sendtput: 39.16 Gbps

117, src: h118, dst: h144, sport: 118, dport: 118, flowsize: 20, starttime: 1000, finishtime: 14265, fct: 13265, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

48, src: h27, dst: h144, sport: 49, dport: 49, flowsize: 20, starttime: 1000, finishtime: 14273, fct: 13273, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

51, src: h30, dst: h144, sport: 52, dport: 52, flowsize: 20, starttime: 1000, finishtime: 14280, fct: 13280, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

45, src: h24, dst: h144, sport: 46, dport: 46, flowsize: 20, starttime: 1000, finishtime: 14312, fct: 13312, recvtput: -7.85 Gbps, sendtput: 0.15 Gbps

