44, src: h26, dst: h144, sport: 45, dport: 45, flowsize: 10, starttime: 1000, finishtime: 3229, fct: 2229, recvtput: -0.55 Gbps, sendtput: 0.45 Gbps

28, src: h84, dst: h142, sport: 29, dport: 29, flowsize: 5000, starttime: 0, finishtime: 7172, fct: 7172, recvtput: 68.72 Gbps, sendtput: 70.19 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 7569, fct: 7569, recvtput: 65.06 Gbps, sendtput: 66.32 Gbps

18, src: h51, dst: h132, sport: 19, dport: 19, flowsize: 5000, starttime: 0, finishtime: 8032, fct: 8032, recvtput: 61.25 Gbps, sendtput: 62.65 Gbps

15, src: h3, dst: h129, sport: 16, dport: 16, flowsize: 5000, starttime: 0, finishtime: 8043, fct: 8043, recvtput: 61.17 Gbps, sendtput: 62.39 Gbps

20, src: h83, dst: h134, sport: 21, dport: 21, flowsize: 5000, starttime: 0, finishtime: 8255, fct: 8255, recvtput: 59.57 Gbps, sendtput: 60.83 Gbps

9, src: h18, dst: h138, sport: 10, dport: 10, flowsize: 5000, starttime: 0, finishtime: 9594, fct: 9594, recvtput: 51.12 Gbps, sendtput: 52.37 Gbps

8, src: h2, dst: h137, sport: 9, dport: 9, flowsize: 5000, starttime: 0, finishtime: 9871, fct: 9871, recvtput: 49.65 Gbps, sendtput: 50.89 Gbps

22, src: h114, dst: h136, sport: 23, dport: 23, flowsize: 5000, starttime: 0, finishtime: 9966, fct: 9966, recvtput: 49.17 Gbps, sendtput: 50.38 Gbps

6, src: h97, dst: h135, sport: 7, dport: 7, flowsize: 5000, starttime: 0, finishtime: 10084, fct: 10084, recvtput: 48.58 Gbps, sendtput: 49.78 Gbps

27, src: h68, dst: h141, sport: 28, dport: 28, flowsize: 5000, starttime: 0, finishtime: 10084, fct: 10084, recvtput: 48.58 Gbps, sendtput: 49.85 Gbps

1, src: h17, dst: h130, sport: 2, dport: 2, flowsize: 5000, starttime: 0, finishtime: 10269, fct: 10269, recvtput: 47.69 Gbps, sendtput: 48.95 Gbps

24, src: h20, dst: h138, sport: 25, dport: 25, flowsize: 5000, starttime: 0, finishtime: 10275, fct: 10275, recvtput: 47.66 Gbps, sendtput: 48.77 Gbps

14, src: h98, dst: h143, sport: 15, dport: 15, flowsize: 5000, starttime: 0, finishtime: 10645, fct: 10645, recvtput: 45.97 Gbps, sendtput: 47.13 Gbps

0, src: h1, dst: h129, sport: 1, dport: 1, flowsize: 5000, starttime: 0, finishtime: 10720, fct: 10720, recvtput: 45.64 Gbps, sendtput: 46.74 Gbps

3, src: h49, dst: h132, sport: 4, dport: 4, flowsize: 5000, starttime: 0, finishtime: 11825, fct: 11825, recvtput: 41.28 Gbps, sendtput: 42.37 Gbps

10, src: h34, dst: h139, sport: 11, dport: 11, flowsize: 5000, starttime: 0, finishtime: 12019, fct: 12019, recvtput: 40.6 Gbps, sendtput: 41.76 Gbps

23, src: h4, dst: h137, sport: 24, dport: 24, flowsize: 5000, starttime: 0, finishtime: 12551, fct: 12551, recvtput: 38.84 Gbps, sendtput: 40.0 Gbps

17, src: h35, dst: h131, sport: 18, dport: 18, flowsize: 5000, starttime: 0, finishtime: 13679, fct: 13679, recvtput: 35.55 Gbps, sendtput: 36.63 Gbps

19, src: h67, dst: h133, sport: 20, dport: 20, flowsize: 5000, starttime: 0, finishtime: 13733, fct: 13733, recvtput: 35.41 Gbps, sendtput: 36.52 Gbps

26, src: h52, dst: h140, sport: 27, dport: 27, flowsize: 5000, starttime: 0, finishtime: 15374, fct: 15374, recvtput: 31.52 Gbps, sendtput: 32.57 Gbps

13, src: h82, dst: h142, sport: 14, dport: 14, flowsize: 5000, starttime: 0, finishtime: 15549, fct: 15549, recvtput: 31.16 Gbps, sendtput: 32.2 Gbps

2, src: h33, dst: h131, sport: 3, dport: 3, flowsize: 5000, starttime: 0, finishtime: 18369, fct: 18369, recvtput: 26.22 Gbps, sendtput: 27.3 Gbps

25, src: h36, dst: h139, sport: 26, dport: 26, flowsize: 5000, starttime: 0, finishtime: 18822, fct: 18822, recvtput: 25.56 Gbps, sendtput: 26.63 Gbps

21, src: h99, dst: h135, sport: 22, dport: 22, flowsize: 5000, starttime: 0, finishtime: 19759, fct: 19759, recvtput: 24.3 Gbps, sendtput: 25.33 Gbps

7, src: h113, dst: h136, sport: 8, dport: 8, flowsize: 5000, starttime: 0, finishtime: 20753, fct: 20753, recvtput: 23.09 Gbps, sendtput: 24.12 Gbps

16, src: h19, dst: h130, sport: 17, dport: 17, flowsize: 5000, starttime: 0, finishtime: 22270, fct: 22270, recvtput: 21.45 Gbps, sendtput: 22.49 Gbps

12, src: h66, dst: h141, sport: 13, dport: 13, flowsize: 5000, starttime: 0, finishtime: 23542, fct: 23542, recvtput: 20.24 Gbps, sendtput: 21.29 Gbps

4, src: h65, dst: h133, sport: 5, dport: 5, flowsize: 5000, starttime: 0, finishtime: 25795, fct: 25795, recvtput: 18.38 Gbps, sendtput: 19.42 Gbps

5, src: h81, dst: h134, sport: 6, dport: 6, flowsize: 5000, starttime: 0, finishtime: 26380, fct: 26380, recvtput: 17.95 Gbps, sendtput: 18.99 Gbps

29, src: h100, dst: h143, sport: 30, dport: 30, flowsize: 5000, starttime: 0, finishtime: 26401, fct: 26401, recvtput: 17.94 Gbps, sendtput: 18.97 Gbps

